Agent,attribute,a_score
Selenium,iframeChrome,0.5
Selenium,userAgentData_mobile,0.5406
Selenium,chromeRuntimeProps,0.4737
Selenium,audioContext_sampleRate,0.4425
Selenium,permissions_midi,0.4276
Selenium,host,0.0
Selenium,permissions_geolocation,0.7138
Selenium,dnt,0.0394
Selenium,priority,0.7043
Selenium,signature,0.0512
Selenium,screen_left,0.5039
Selenium,doNotTrack,0.0661
Selenium,permissions_background-sync,0.6488
Selenium,detailChrome_loadTimes,0.5256
Selenium,sec-fetch-mode,0.0
Selenium,battery_onchargingchange,0.0
Selenium,origin,0.9
Selenium,screen_availLeft,0.2205
Selenium,content-length,0.9911
Selenium,connection-js_saveData,0.5
Selenium,webGLRendererException,0.6944
Selenium,connection,0.0
Selenium,multiMediaDevices_micros,0.222
Selenium,cf-visitor,0.0
Selenium,client_height,0.9542
Selenium,buildID,0.5
Selenium,cf-ray,0.0
Selenium,detailChrome,0.5
Selenium,sec-ch-ua-platform,0.6622
Selenium,detailChrome_csi,0.5256
Selenium,permissions_persistent-storage,0.4276
Selenium,userAgentData_wow64,0.5406
Selenium,keyboard,0.7118
Selenium,userAgentData_architecture,0.5723
Selenium,audioFormats_audio/x-mpegurl,0.5
Selenium,detailChrome_app,0.5256
Selenium,resOverflow,0.0
Selenium,audioFormats_audio/flac,0.5
Selenium,productSub,0.5
Selenium,connection-js_type,0.1024
Selenium,connection-js_effectiveType,0.5134
Selenium,accept-encoding,0.0394
Selenium,screen_depth,0.2441
Selenium,permissions_magnetometer,0.6488
Selenium,cf-connecting-ip,0.0
Selenium,screen_width,0.3638
Selenium,referer,0.0394
Selenium,signature-input,0.0512
Selenium,screen_top,0.5
Selenium,userAgentData_fullVersionList,0.6219
Selenium,window_device_pixel_ratio,0.152
Selenium,battery,0.5
Selenium,resOverflow_depth,0.9237
Selenium,battery_onchargingtimechange,0.0
Selenium,userAgentData_brands,0.6122
Selenium,screen_height,0.3638
Selenium,userAgentData_formFactors,0.5274
