Agent,attribute,value,intra_p,excl_p,v_score
Selenium,iframeChrome,object,0.5,0.0937,0.0469
Selenium,iframeChrome,undefined,0.5,0.9063,0.4531
Selenium,userAgentData_mobile,MISSING,0.7,0.6016,0.4211
Selenium,userAgentData_mobile,False,0.3,0.3984,0.1195
Selenium,chromeRuntimeProps,NOT_SUPPORTED,0.6,0.3685,0.2211
Selenium,chromeRuntimeProps,MISSING,0.4,0.6315,0.2526
Selenium,audioContext_sampleRate,48000,1.0,0.4425,0.4425
Selenium,permissions_midi,prompt,1.0,0.4276,0.4276
Selenium,host,api.example.org,1.0,0.0,0.0
Selenium,permissions_geolocation,granted,0.5,1.0,0.5
Selenium,permissions_geolocation,prompt,0.5,0.4276,0.2138
Selenium,dnt,MISSING,1.0,0.0394,0.0394
Selenium,priority,"u=1, i",0.5,0.5024,0.2512
Selenium,priority,u=4,0.5,0.9063,0.4531
Selenium,signature,MISSING,1.0,0.0512,0.0512
Selenium,screen_left,MISSING,0.5,0.0937,0.0469
Selenium,screen_left,0,0.5,0.9142,0.4571
Selenium,doNotTrack,NC,1.0,0.0661,0.0661
Selenium,permissions_background-sync,granted,0.5,0.5213,0.2606
Selenium,permissions_background-sync,NOT_SUPPORTED,0.5,0.7764,0.3882
Selenium,detailChrome_loadTimes,37,0.5,0.1449,0.0724
Selenium,detailChrome_loadTimes,MISSING,0.5,0.9063,0.4531
Selenium,sec-fetch-mode,cors,1.0,0.0,0.0
Selenium,battery_onchargingchange,MISSING,1.0,0.0,0.0
Selenium,origin,https://example.org,0.1,0.848,0.0848
Selenium,origin,https://site1.example.org,0.1,0.9157,0.0916
Selenium,origin,https://site2.example.org,0.1,0.915,0.0915
Selenium,origin,https://site3.example.org,0.1,0.9047,0.0905
Selenium,origin,https://site4.example.org,0.1,0.8748,0.0875
Selenium,origin,https://site5.example.org,0.1,0.915,0.0915
Selenium,origin,https://site6.example.org,0.1,0.9102,0.091
Selenium,origin,https://site8.example.org,0.1,0.8748,0.0875
Selenium,origin,https://site7.example.org,0.1,0.9228,0.0923
Selenium,origin,https://site9.example.org,0.1,0.9189,0.0919
Selenium,screen_availLeft,0,1.0,0.2205,0.2205
Selenium,content-length,31879.0,0.25,0.9803,0.2451
Selenium,content-length,36114.0,0.16,0.9906,0.1585
Selenium,content-length,30929.0,0.1,0.9921,0.0992
Selenium,content-length,30928.0,0.1,0.9929,0.0993
